symbol,radar,accion,score,discard_code,execution_code,quality,freshness,recent,historical,exec_ready,warnings
ARM,DESCARTAR,DESCARTAR,54.1,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
000660.KS,DESCARTAR,DESCARTAR,54.1,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
SIE.DE,DESCARTAR,DESCARTAR,53.5,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
ZPRR.DE,DESCARTAR,DESCARTAR,53.5,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
SAF.PA,DESCARTAR,DESCARTAR,53.5,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
6501.T,DESCARTAR,DESCARTAR,53.5,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
GOOGL,DESCARTAR,DESCARTAR,53.5,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
IQQK.DE,DESCARTAR,DESCARTAR,53.5,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
EXV1.DE,DESCARTAR,DESCARTAR,53.5,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.OK,no,
MSFT,DESCARTAR,DESCARTAR,53.5,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
DTE.DE,DESCARTAR,DESCARTAR,53.5,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
SAN.MC,DESCARTAR,DESCARTAR,53.5,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.OK,no,
PLTR,DESCARTAR,DESCARTAR,52.9,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
QDV5.DE,DESCARTAR,DESCARTAR,52.2,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
MC.PA,DESCARTAR,DESCARTAR,52.2,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
IBE.MC,DESCARTAR,DESCARTAR,52.2,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
SXR8.DE,DESCARTAR,DESCARTAR,52.2,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
ALV.DE,DESCARTAR,DESCARTAR,51.8,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
NVDA,DESCARTAR,DESCARTAR,51.6,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
MU,DESCARTAR,DESCARTAR,51.6,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
CRM,DESCARTAR,DESCARTAR,51.6,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
ETH-EUR,DESCARTAR,DESCARTAR,51.6,LOW_SCORE,PARTIAL_BAR,OK,FreshnessState.PARTIAL_BAR,Severity.OK,Severity.OK,no,
SOL-EUR,DESCARTAR,DESCARTAR,51.6,LOW_SCORE,PARTIAL_BAR,OK,FreshnessState.PARTIAL_BAR,Severity.OK,Severity.OK,no,
GE,DESCARTAR,DESCARTAR,51.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
AIR.PA,DESCARTAR,DESCARTAR,51.0,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
JPM,DESCARTAR,DESCARTAR,51.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
AZN,DESCARTAR,DESCARTAR,51.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
6758.T,DESCARTAR,DESCARTAR,51.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
OR.PA,DESCARTAR,DESCARTAR,51.0,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
ASML.AS,DESCARTAR,DESCARTAR,50.4,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
RACE.MI,DESCARTAR,DESCARTAR,49.7,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
MA,DESCARTAR,DESCARTAR,49.7,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
BTC-EUR,DESCARTAR,DESCARTAR,49.2,LOW_SCORE,PARTIAL_BAR,OK,FreshnessState.PARTIAL_BAR,Severity.OK,Severity.OK,no,
IS3N.DE,DESCARTAR,DESCARTAR,49.2,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
8035.T,DESCARTAR,DESCARTAR,49.1,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
APP,DESCARTAR,DESCARTAR,49.1,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
6857.T,DESCARTAR,DESCARTAR,49.1,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
NOVO-B.CO,DESCARTAR,DESCARTAR,48.5,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.WARNING,no,
COIN,DESCARTAR,DESCARTAR,48.5,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
VVSM.DE,DESCARTAR,DESCARTAR,48.5,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
ENR.DE,DESCARTAR,DESCARTAR,47.9,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
