symbol,radar,accion,score,discard_code,execution_code,entry_max,entry_max_tecnica,entry_max_rr,manda
EXV1.DE,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,STALE_DATA,42.349998,42.819285,42.349998,rr
GE,DESCARTAR,DESCARTAR,49.750000,LOW_SCORE,BROKER_UNAVAILABLE,318.034496,319.588931,318.034496,rr
GOOGL,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,EXECUTABLE,347.329987,353.278278,347.329987,rr
GS,DESCARTAR,DESCARTAR,54.750000,LOW_SCORE,EXECUTABLE,963.393519,972.616778,963.393519,rr
IBE.MC,VIGILAR,ESPERAR,62.250000,LOW_SCORE,MISSING_RECENT_DATA,20.240000,20.488571,20.240000,rr
ICGA.DE,DESCARTAR,DESCARTAR,41.000000,LOW_SCORE,STALE_DATA,4.701000,4.737616,4.701000,rr
IFX.DE,VIGILAR,ESPERAR,67.875000,LOW_SCORE,MISSING_RECENT_DATA,56.505251,56.825179,56.505251,rr
INFY,DESCARTAR,DESCARTAR,36.625000,LOW_SCORE,EXECUTABLE,11.070000,11.330357,11.070000,rr
INTC,VIGILAR,ESPERAR,67.875000,LOW_SCORE,EXECUTABLE,108.800003,113.026789,108.800003,rr
IQQK.DE,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,STALE_DATA,112.160004,114.615717,112.160004,rr
IQQT.DE,VIGILAR,ESPERAR,63.500000,LOW_SCORE,STALE_DATA,177.139999,179.820711,177.139999,rr
IS3N.DE,DESCARTAR,DESCARTAR,53.426471,LOW_SCORE,STALE_DATA,47.188999,47.652821,47.188999,rr
ITX.MC,DESCARTAR,DESCARTAR,56.000000,LOW_SCORE,MISSING_RECENT_DATA,53.602856,53.602856,53.704000,tecnica
JPM,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,BROKER_UNAVAILABLE,349.309998,354.552497,349.309998,rr
LLY,DESCARTAR,DESCARTAR,44.750000,LOW_SCORE,EXECUTABLE,1152.439941,1171.552608,1152.439941,rr
LMT,DESCARTAR,DESCARTAR,41.000000,LOW_SCORE,EXECUTABLE,538.090027,547.726398,538.090027,rr
LRCX,DESCARTAR,DESCARTAR,51.625000,LOW_SCORE,BROKER_UNAVAILABLE,272.538744,279.677673,272.538744,rr
MA,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,EXECUTABLE,565.729980,571.937841,565.729980,rr
MBG.DE,DESCARTAR,DESCARTAR,49.750000,LOW_SCORE,MISSING_RECENT_DATA,45.365002,46.243840,45.365002,rr
MC.PA,DESCARTAR,DESCARTAR,49.750000,LOW_SCORE,MISSING_RECENT_DATA,417.467503,418.948227,417.467503,rr
META,VIGILAR,ESPERAR,62.875000,LOW_SCORE,EXECUTABLE,682.309998,698.053569,682.309998,rr
