symbol,radar_antes,accion_antes,radar_despues,accion_despues,igual
PLTR,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
Q8Y0.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
QCOM,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
QDV5.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
R6C0.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
RACE.MI,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
RHM.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
RRU.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
RTX,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
SAF.PA,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
SAN.MC,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
SAP.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
SIE.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
SOL-EUR,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
SU.PA,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
SXR8.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
TSLA,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
TSM,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
TTE.PA,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
UBER,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
UCG.MI,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
V,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
VRTX,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
VVSM.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
XOM,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
ZPRR.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
